,name,res,p
0,OptiMAC_25/30_p=0.6,0,0.6
1,OptiMAC_30/30_p=0.6,0,0.6
2,OptiMAC_18/30_p=0.6,0,0.6
3,OptiMAC_13/25_p=0.6,0,0.6
4,OptiMAC_14/25_p=0.6,0,0.6
5,OptiMAC_15/25_p=0.6,0,0.6
6,OptiMAC_16/25_p=0.6,0,0.6
7,OptiMAC_18/25_p=0.6,0,0.6
8,OptiMAC_20/25_p=0.6,0,0.6
9,OptiMAC_22/25_p=0.6,0,0.6
10,OptiMAC_25/25_p=0.6,0,0.6
11,AggMAC_2,0,0.6
12,AggMAC_3,0,0.6
13,AggMAC_4,0,0.6
14,AggMAC_5,0,0.6
15,trad,0,0.6
16,Whip_2,4999,0.6
17,Whip_3,9998,0.6
18,Whip_4,14997,0.6
19,Whip_5,19996,0.6
20,OptiMAC_5/30_p=0.6,0,0.6
21,OptiMAC_10/30_p=0.6,0,0.6
22,Golomb,0,0.6
23,g-Sidon_2,0,0.6
0,OptiMAC_5/20_p=0.7,0,0.7
1,OptiMAC_10/20_p=0.7,0,0.7
2,OptiMAC_15/20_p=0.7,0,0.7
3,OptiMAC_5/30_p=0.7,0,0.7
4,OptiMAC_10/30_p=0.7,0,0.7
5,OptiMAC_15/30_p=0.7,0,0.7
6,AggMAC_2,0,0.7
7,AggMAC_3,0,0.7
8,AggMAC_4,0,0.7
9,AggMAC_5,0,0.7
10,trad,0,0.7
11,Whip_2,4999,0.7
12,Whip_3,9998,0.7
13,Whip_4,14997,0.7
14,Whip_5,19996,0.7
15,OptiMAC_25/30_p=0.7,0,0.7
16,OptiMAC_30/30_p=0.7,0,0.7
17,OptiMAC_18/30_p=0.7,0,0.7
18,OptiMAC_13/25_p=0.7,0,0.7
19,OptiMAC_14/25_p=0.7,0,0.7
20,OptiMAC_15/25_p=0.7,0,0.7
21,OptiMAC_16/25_p=0.7,0,0.7
22,OptiMAC_18/25_p=0.7,0,0.7
23,OptiMAC_20/25_p=0.7,0,0.7
24,OptiMAC_22/25_p=0.7,0,0.7
25,OptiMAC_25/25_p=0.7,0,0.7
26,Golomb,0,0.7
27,g-Sidon_2,0,0.7
0,OptiMAC_5/20_p=0.8,0,0.8
1,OptiMAC_10/20_p=0.8,0,0.8
2,OptiMAC_15/20_p=0.8,0,0.8
3,OptiMAC_5/30_p=0.8,0,0.8
4,OptiMAC_10/30_p=0.8,0,0.8
5,OptiMAC_15/30_p=0.8,0,0.8
6,AggMAC_2,0,0.8
7,AggMAC_3,0,0.8
8,AggMAC_4,0,0.8
9,AggMAC_5,0,0.8
10,trad,0,0.8
11,Whip_2,4999,0.8
12,Whip_3,9998,0.8
13,Whip_4,14997,0.8
14,Whip_5,19996,0.8
15,OptiMAC_25/30_p=0.8,0,0.8
16,OptiMAC_30/30_p=0.8,0,0.8
17,OptiMAC_18/30_p=0.8,0,0.8
18,OptiMAC_13/25_p=0.8,0,0.8
19,OptiMAC_14/25_p=0.8,0,0.8
20,OptiMAC_15/25_p=0.8,0,0.8
21,OptiMAC_16/25_p=0.8,0,0.8
22,OptiMAC_18/25_p=0.8,0,0.8
23,OptiMAC_20/25_p=0.8,0,0.8
24,OptiMAC_22/25_p=0.8,0,0.8
25,OptiMAC_25/25_p=0.8,0,0.8
26,Golomb,0,0.8
27,g-Sidon_2,0,0.8
28,g-Sidon_2,0,0.8
0,OptiMAC_5/20_p=0.9,0,0.9
1,OptiMAC_10/20_p=0.9,0,0.9
2,OptiMAC_15/20_p=0.9,0,0.9
3,OptiMAC_5/30_p=0.9,0,0.9
4,OptiMAC_10/30_p=0.9,0,0.9
5,OptiMAC_15/30_p=0.9,0,0.9
6,AggMAC_2,0,0.9
7,AggMAC_3,0,0.9
8,AggMAC_4,0,0.9
9,AggMAC_5,0,0.9
10,trad,0,0.9
11,Whip_2,4999,0.9
12,Whip_3,9998,0.9
13,Whip_4,14997,0.9
14,Whip_5,19996,0.9
15,OptiMAC_30/30_p=0.9,0,0.9
16,OptiMAC_25/30_p=0.9,0,0.9
17,OptiMAC_18/30_p=0.9,0,0.9
18,OptiMAC_13/25_p=0.9,0,0.9
19,OptiMAC_14/25_p=0.9,0,0.9
20,OptiMAC_15/25_p=0.9,0,0.9
21,OptiMAC_16/25_p=0.9,0,0.9
22,OptiMAC_18/25_p=0.9,0,0.9
23,OptiMAC_20/25_p=0.9,0,0.9
24,OptiMAC_22/25_p=0.9,0,0.9
25,OptiMAC_25/25_p=0.9,0,0.9
26,g-Sidon_2,0,0.9
27,Golomb,0,0.9
